elapsed_sec,conn/s,conn_fail/s,disconn/s,send_pkt/s,recv_pkt/s,send_KB/s,recv_KB/s,total_conn,total_disconn,lat_min_ms,lat_avg_ms,lat_max_ms,lat_p99_ms,lat_samples
1,40,0,0,20,20,1.38672,0.136719,40,0,0,0,0,0,0
2,44,0,0,62,141,3.08789,24.0469,84,0,0,0,0,0,0
3,40,0,0,84,275,3.28125,55.5986,124,0,0,0,0,0,0
4,40,0,0,82,277,3.14258,56.7373,164,0,0,0,0,0,0
5,40,0,0,81,269,3.38086,54.7139,204,0,2.499,2.499,2.499,2.499,1
6,40,0,0,90,350,5.68359,75.5176,244,0,0.717,3.0781,5.559,5.559,10
7,40,0,0,90,350,5.68359,75.5176,284,0,0.969,10.9587,35.18,35.18,10
8,40,0,0,95,395,6.96289,87.0752,324,0,1.072,5.36593,18.773,18.773,15
9,40,0,0,100,440,8.24219,98.6328,364,0,0.667,4.0023,37.405,37.405,20
10,40,0,0,112,548,11.3125,126.371,404,0,0.64,7.27219,27.024,27.024,32
11,44,0,0,120,588,12.6133,135.645,448,0,0.618,11.2959,54.189,54.189,36
12,40,0,0,134,699,15.9531,165.935,488,0,0.712,7.13161,46.421,46.421,49
13,40,0,0,133,774,17.6738,183.885,528,0,0.774,10.9779,48.178,48.178,57
14,40,0,0,142,806,18,191.697,568,0,0.686,7.25817,28.474,28.474,59
15,40,0,0,152,908,21.5469,218.832,608,0,0.511,5.24454,29.458,29.458,72
16,40,0,0,148,872,20.5234,209.586,648,0,0.729,7.36409,42.146,42.146,68
17,40,0,0,166,1034,25.1289,251.193,688,0,0.887,7.32107,25.664,25.664,86
18,40,0,0,149,881,20.7793,211.897,728,0,0.598,11.2612,32.724,32.724,69
19,40,0,0,173,1097,26.9199,267.374,768,0,0.588,7.61628,30.036,30.036,93
20,40,0,0,172,1088,26.6641,265.062,808,0,0.712,13.3395,47.707,47.707,92
21,44,0,0,185,1205,29.9902,295.112,852,0,0.512,10.0747,42.581,42.462,105
22,40,0,0,185,1173,29.2441,285.894,892,0,0.757,9.34812,41.189,34.718,101
23,40,0,0,214,1443,36.4219,356.646,932,0,0.561,8.49621,48.156,46.016,130
